UUID,Title,First Author,Year,Environment Type,Data Collection Mediums,Modalities,Analysis Methods,Fusion Types,Publication,Environment Setting,Environment Subject,Participant Structure,Didactic Nature,Level of Instruction or Training,Analysis Approach
483140962,investigating multimodal affect sensing in an affective tutoring system using unobtrusive sensors,Hua Leong Fwa,2018,Learning,"VIDEO,LOGS","POSE,ACT,LOGS",CLS,MID,PPIG,VIRT,STEM,IND,INSTR,UNI,MB
3146393211,mobile mixed reality for experiential learning and simulation in medical and health sciences education,James Birt,2018,Learning,"PPA,INTER","PPA,TRANS","QUAL,STATS",OTH,Information,BLND,STEM,IND,INSTR,UNI,MF
3308658121,exploring collaboration using motion sensors and multi-modal learning analytics,Joseph M. Reilly,2018,Learning,"VIDEO,AUDIO,PPA","PPA,RPA,POSE,GEST","CLUST,PATT,STATS",OTH,EDM,BLND,STEM,MULTI,INSTR,UNI,"MB, MF"
3135645357,multimodal teaching analytics: automated extraction of orchestration graphs from wearable sensor data,Luis P. Prieto,2018,Learning,"EYE,VIDEO,AUDIO,MOTION","GAZE,PROS,ACT,PIXEL","NET,CLS,STATS,PATT,QUAL",HYBRID,JCAL,PHYS,STEM,MULTI,INSTR,PROF,MB
3309250332,(dis)engagement matters: identifying efficacious learning practices with multimodal learning analytics,Marcelo Worsley,2018,Learning,"VIDEO,PPA","GEST,QUAL,PPA","CLUST,CLS,QUAL",HYBRID,LAK,PHYS,STEM,MULTI,INSTR,UNI,MB
2836996318,predicting learners' emotions in mobile mooc learning via a multimodal intelligent tutor,Phuong Pham,2018,Learning,VIDEO,"AFFECT,PULSE",REG,LATE,ITS,VIRT,STEM,IND,INSTR,UNI,MB
3783339081,a novel method for the in-depth multimodal analysis of student learning trajectories in intelligent tutoring systems,Ran Liu,2018,Learning,"LOGS,AUDIO,SCREEN,PPA","LOGS,TRANS,ACT,QUAL,PPA","STATS,REG,QUAL",MID,JLA,VIRT,STEM,IND,INSTR,K12,MB
3796180663,learning linkages: integrating data streams of multiple modalities and timescales,Ran Liu,2018,Learning,"VIDEO,AUDIO,LOGS,SCREEN,PPA","TRANS,QUAL,PPA","CLS,STATS",MID,JCAL,VIRT,STEM,"IND, MULTI",INSTR,K12,"MB, MF"
2345021698,exploring collaborative writing of user stories with multimodal learning analytics: a case study on a software engineering course,René Noël,2018,Learning,"AUDIO,PPA,RPA","RPA,PROS","QUAL,NET,STATS",OTH,Access,PHYS,STEM,MULTI,INF,UNI,"MB, MF"
804659204,towards smart educational recommendations with reinforcement learning in classroom,Su Liu,2018,Learning,"VIDEO,SENSOR","PULSE,AFFECT,GAZE",CLS,MID,TALE,UNSP,UNSP,IND,INSTR,UNSP,MB
2497456347,the rap system: automatic feedback of oral presentation skills using multimodal analysis and low-cost sensors,Xavier Ochoa,2018,Training,"AUDIO,VIDEO,PPA,SURVEY","PPA,GAZE,POSE,PROS","CLS,STATS,QUAL",LATE,LAK,BLND,HUM,IND,TRAIN,UNI,MB
2070224207,detecting medical simulation errors with machine learning and multimodal data,Daniele Di Mitri,2019,Training,"VIDEO,MOTION,LOGS","POSE,LOGS",CLS,MID,CAIM,BLND,PSY,IND,TRAIN,UNI,MB
4019205162,introducing low-cost sensors into the classroom settings: improving the assessment in agile practices with multimodal learning analytics,Hector Cornide-Reyes,2019,Learning,"AUDIO,SURVEY,PPA,RPA","SURVEY,TRANS,PPA,RPA","NET,STATS","MID,OTH",Sensors,PHYS,STEM,MULTI,INSTR,UNI,"MB, MF"
1847468084,computationally augmented ethnography: emotion tracking and learning in museum games,Kit Martin,2019,Learning,"VIDEO,AUDIO,PPA,RPA","TRANS,AFFECT,QUAL",QUAL,OTH,ICQE,VIRT,STEM,MULTI,INF,UNSP,"MB, MF"
1326191931,multimodal learning analytics in a laboratory classroom,Man Ching Esther Chan,2019,Learning,"VIDEO,AUDIO","POSE,GAZE,PROS","CLS,CLUST",LATE,MLPALA,PHYS,STEM,"IND, MULTI",INSTR,UNSP,MB
4278392816,multimodal data as a means to understand the learning experience,Michail Giannakos,2019,Training,"LOGS,EYE,SENSOR,VIDEO","EEG,GAZE,LOGS,PULSE,EDA,TEMP,BP,POSE","REG,STATS",HYBRID,IJIM,VIRT,PSY,IND,INF,UNI,MB
1576545447,artificial intelligence and multimodal data in the service of human decision-making: a case study in debate tutoring,Mutlu Cukurova,2019,Learning,"AUDIO,SURVEY","AFFECT,LOGS",CLS,MID,BJET,UNSP,HUM,IND,TRAIN,UNSP,"MB, MF"
853680639,sensor-based data fusion for multimodal affect detection in game-based learning environments,Nathan Henderson,2019,Training,"VIDEO,SENSOR,RPA","POSE,EDA,AFFECT",CLS,HYBRID,EDM,VIRT,STEM,IND,TRAIN,UNI,MB
3398902089,what multimodal data can tell us about the students’ regulation of their learning process?,Sanna Järvelä,2019,Learning,"SENSOR,VIDEO,AUDIO","EDA,AFFECT,QUAL",QUAL,OTH,LAI,BLND,STEM,MULTI,INSTR,K12,MF
86191824,examining how different modes mediate adolescents’ interactions during their collaborative multimodal composing processes,Shiyan Jiang,2019,Learning,"SCREEN,INTER,PPA,AUDIO","INTER,QUAL,TRANS",QUAL,OTH,ILE,VIRT,STEM,MULTI,INSTR,K12,MB
3448122334,"investigating the impact of a real-time, multimodal student engagement analytics technology in authentic classrooms",Sinem Aslan,2019,Learning,"VIDEO,LOGS,SCREEN,AUDIO,SURVEY,RPA,PPA,INTER","AFFECT,LOGS,POSE,QUAL,INTER,SURVEY,RPA","QUAL,STATS,CLS",LATE,CHI,VIRT,STEM,IND,INSTR,K12,MB
1296637108,towards collaboration translucence: giving meaning to multimodal group data,Vanessa Echeverria,2019,Training,"VIDEO,AUDIO,LOGS,SENSOR,MOTION,INTER","POSE,LOGS,TRANS,EDA,ACT,PROS,INTER",QUAL,OTH,CHI,PHYS,STEM,MULTI,TRAIN,UNI,MB
1019093033,prime: block-wise missingness handling for multi-modalities in intelligent tutoring systems,Xi Yang,2019,Learning,"PPA,VIDEO,EYE","LOGS,AFFECT,GAZE","CLS,STATS",HYBRID,MMM,VIRT,STEM,IND,INSTR,UNI,MB
1581261659,early prediction of visitor engagement in science museums with multimodal learning analytics,Andrew Emerson,2020,Learning,"VIDEO,EYE,LOGS","POSE,GEST,AFFECT,GAZE,LOGS",REG,MID,ICMI,VIRT,STEM,IND,INF,K12,MB
1598166515,multimodal learning analytics for game-based learning,Andrew Emerson,2020,Learning,"VIDEO,LOGS,EYE","AFFECT,GAZE,LOGS,PPA","CLS,STATS",MID,BJET,VIRT,STEM,IND,INF,UNI,MB
205660768,multimodal learning analytics to investigate cognitive load during online problem solving,Charlotte Larmuseau,2020,Learning,"PPA,SENSOR","PPA,PULSE,EDA","STATS,CLS",EARLY,BJET,VIRT,STEM,IND,INSTR,"K12, UNI","MB, MF"
3009548670,real-time multimodal feedback with the cpr tutor,Daniele Di Mitri,2020,Training,"LOGS,VIDEO,SENSOR,MOTION","POSE,EMG,GEST",CLS,HYBRID,AIED,PHYS,PSY,IND,TRAIN,PROF,MB
1770989706,focused or stuck together: multimodal patterns reveal triads' performance in collaborative problem solving,Hana Vrzakova,2020,Learning,"AUDIO,VIDEO,SCREEN,SURVEY,PPA","PROS,ACT,GEST,PPA","STATS,PATT",MID,LAK,VIRT,STEM,MULTI,INSTR,UNI,MF
3051560548,temporal analysis of multimodal data to predict collaborative learning outcomes,Jennifer K. Olsen,2020,Learning,"LOGS,AUDIO,EYE","GAZE,LOGS,PROS,TRANS,QUAL",REG,MID,BJET,VIRT,STEM,MULTI,INSTR,K12,MB
147203129,multimodal learning analytics to inform learning design: lessons learned from computing education,Katerina Mangaroska,2020,Learning,"VIDEO,EYE,SENSOR,LOGS","LOGS,GAZE,EDA,PULSE,AFFECT,TEMP",CLS,HYBRID,JLA,VIRT,STEM,IND,INSTR,UNI,MB
2000036002,predicting learners’ effortful behaviour in adaptive assessment using multimodal data,Kshitij Sharma,2020,Learning,"VIDEO,EYE,SENSOR","EDA,TEMP,PULSE,EEG,GAZE,AFFECT","CLUST,CLS,PATT",MID,LAK,VIRT,STEM,IND,INSTR,UNI,MB
2055153191,round or rectangular tables for collaborative problem solving? a multimodal learning analytics study,Milica Vujovic,2020,Learning,"VIDEO,MOTION","POSE,GEST,ACT","STATS,QUAL",OTH,BJET,BLND,"HUM, STEM",MULTI,INSTR,K12,MF
3796643912,an evaluation of an adaptive learning system based on multimodal affect recognition for learners with intellectual disabilities,Penelope J. Standen,2020,Learning,"VIDEO,AUDIO,LOGS,RPA","AFFECT,POSE,LOGS,RPA,GAZE,PROS,GEST","CLS,STATS",HYBRID,BJET,VIRT,"HUM, OTH, STEM",IND,INSTR,K12,MB
2879332689,from data to insights: a layered storytelling approach for multimodal learning analytics,Roberto Martinez-Maldonado,2020,Training,"LOGS,MOTION,SENSOR,RPA,VIDEO","POSE,EDA,LOGS,RPA",QUAL,OTH,CHI,BLND,STEM,MULTI,TRAIN,UNI,MF
1877483551,motion-based educational games: using multi-modal data to predict player’s performance,Serena Lee-Cultura,2020,Learning,"VIDEO,EYE,SENSOR","PULSE,TEMP,EDA,GAZE,POSE",CLS,MID,COG,BLND,STEM,IND,INSTR,K12,MB
3637456466,impact of inquiry interventions on students in e-learning and classroom environments using affective computing framework,T. S. Ashwin,2020,Learning,"VIDEO,PPA","AFFECT,POSE,GEST","CLS,STATS,PATT",MID,UMUAI,"PHYS, VIRT",UNSP,"IND, MULTI",INSTR,UNI,MB
2936220551,multi-source and multimodal data fusion for predicting academic performance in blended learning university courses,Wilson Chango,2020,Learning,"VIDEO,LOGS,PPA","LOGS,POSE,RPA,ACT","CLS,QUAL,STATS","MID,LATE",CEE,BLND,STEM,IND,INSTR,UNI,MB
2634033325,controlled evaluation of a multimodal system to improve oral presentation skills in a real learning setting,Xavier Ochoa,2020,Training,"VIDEO,AUDIO,PPA","POSE,PROS,PPA",STATS,OTH,BJET,BLND,HUM,IND,TRAIN,UNSP,MF
123412197,utilizing multimodal data through fsqca to explain engagement in adaptive learning,Zacharoula Papamitsiou,2020,Learning,"SURVEY,LOGS,EYE,SENSOR,VIDEO","PULSE,AFFECT,EEG,GAZE,LOGS,BP,TEMP,EDA,SURVEY",PATT,HYBRID,TLT,VIRT,STEM,IND,INF,UNI,MF
3809293172,"blending learning analytics and embodied design to model students' comprehension of measurement using their actions, speech, and gestures",Avery H. Closser,2021,Learning,"VIDEO,AUDIO",RPA,"CLUST,REG",MID,IJCCI,PHYS,STEM,IND,INF,"K12, UNI","MB, MF"
1763513559,keep me in the loop: real-time feedback with multimodal data,Daniele Di Mitri,2021,Training,"SURVEY,LOGS,VIDEO,SENSOR,MOTION","POSE,EMG,GEST,SURVEY","CLS,QUAL,STATS",HYBRID,IJAIED,PHYS,PSY,IND,TRAIN,PROF,MB
4035649049,storytelling with learner data: guiding student reflection on multimodal team data,Gloria Fernández-Nieto,2021,Training,"SENSOR,LOGS,RPA","EDA,LOGS,RPA,AFFECT",QUAL,OTH,TLT,BLND,STEM,MULTI,TRAIN,UNI,MF
3625722965,table tennis tutor: forehand strokes classification based on multimodal data and neural networks,Khaleel Asyraaf Mat Sanusi,2021,Training,"VIDEO,MOTION,INTER","POSE,GEST,ACT,INTER","CLS,QUAL",HYBRID,Sensors,PHYS,PSY,IND,TRAIN,UNI,MB
1426267857,"affect, support, and personal factors: multimodal causal models of one-on-one coaching",Lujie Karen Chen,2021,Learning,"AUDIO,VIDEO,SURVEY","PROS,GAZE,TRANS,AFFECT,SURVEY","STATS,NET",HYBRID,JEDM,PHYS,STEM,IND,INSTR,K12,MB
666050348,multicraft: a multimodal interface for supporting and studying learning in minecraft,Marcelo Worsley,2021,Learning,"AUDIO,EYE,TEXT,VIDEO,SCREEN,INTER,SURVEY,LOGS","PROS,TRANS,GAZE,TEXT,INTER,SURVEY,LOGS",QUAL,OTH,HCII,VIRT,STEM,IND,INF,K12,MF
518268671,using multimodal learning analytics to explore collaboration in a sustainability co-located tabletop game,María Ximena López,2021,Learning,"SURVEY,LOGS,AUDIO,VIDEO","LOGS,SURVEY,GAZE,PROS",STATS,OTH,ECGBL,BLND,STEM,MULTI,INSTR,UNI,MF
3660066725,children's play and problem solving in motion-based educational games: synergies between human annotations and multi-modal data,Serena Lee-Cultura,2021,Learning,"VIDEO,SENSOR,EYE,LOGS","ACT,GAZE,EDA,PULSE,AFFECT,FATIG,LOGS,QUAL,TEMP","STATS,QUAL",OTH,IDC,BLND,STEM,IND,INSTR,K12,MF
3856280479,children's play and problem-solving in motion-based learning technologies using a multi-modal mixed methods approach,Serena Lee-Cultura,2021,Learning,"VIDEO,SENSOR,EYE,LOGS","ACT,GAZE,EDA,PULSE,AFFECT,FATIG,LOGS,QUAL,TEMP,BP","STATS,QUAL,CLS",HYBRID,IJCCI,BLND,STEM,IND,INSTR,K12,"MB, MF"
4277812050,improving prediction of students' performance in intelligent tutoring systems using attribute selection and ensembles of different multimodal data sources,Wilson Chango,2021,Learning,"LOGS,VIDEO,EYE,PPA","AFFECT,LOGS,GAZE,PPA",CLS,"HYBRID,LATE",JCHE,VIRT,STEM,IND,INSTR,UNI,MB
566043228,automatic student engagement in online learning environment based on neural turing machine,Xiaoyang Ma,2021,Learning,VIDEO,"POSE,GAZE",CLS,MID,IJIET,VIRT,UNSP,IND,INSTR,UNSP,MB
1315379489,multimodal engagement analysis from facial videos in the classroom,Ömer Sümer,2021,Learning,VIDEO,"POSE,AFFECT",CLS,"EARLY,LATE",TAC,PHYS,"HUM, STEM",MULTI,INSTR,K12,MB
1469065963,examining socially shared regulation and shared physiological arousal events with multimodal learning analytics,Andy Nguyen,2022,Learning,"VIDEO,AUDIO,SENSOR","QUAL,EDA","PATT,CLS,CLUST",HYBRID,BJET,PHYS,STEM,MULTI,INSTR,K12,MB
433919853,understanding fun in learning to code: a multi-modal data approach,Gabriella Tisza,2022,Learning,"SENSOR,VIDEO,PPA","TEMP,PULSE,EDA,BP,AFFECT","REG,STATS",MID,IDC,VIRT,STEM,IND,INSTR,K12,"MB, MF"
2273914836,many are the ways to learn identifying multi-modal behavioral profiles of collaborative learning in constructivist activities,Jauwairia Nasir,2022,Learning,"VIDEO,AUDIO,LOGS,PPA,SURVEY","PROS,AFFECT,GAZE,TRANS,LOGS","STATS,QUAL,CLUST,CLS",HYBRID,IJCSCL,BLND,STEM,MULTI,INSTR,K12,MB
32184286,once more with feeling: emotions in multimodal learning analytics,Marcus Kubsch,2022,Learning,"SURVEY,PPA,AUDIO","INTER,SURVEY,TRANS,PROS,AFFECT","CLS,REG,STATS",OTH,MMLA Handbook,PHYS,STEM,IND,INSTR,K12,"MB, MF"
2609260641,visualizing collaboration in teamwork: a multimodal learning analytics platform for non-verbal communication,René Noël,2022,Learning,"AUDIO,VIDEO,RPA,INTER","PROS,POSE,RPA,INTER,QUAL",QUAL,OTH,DAMLE,PHYS,HUM,MULTI,INF,"PROF, UNI",MF
1345598079,intermodality in multimodal learning analytics for cognitive theory development: a case from embodied design for mathematics learning,Sofia Tancredi,2022,Learning,"EYE,VIDEO,AUDIO,INTER","GAZE,GEST,TRANS,POSE,INTER","PATT,QUAL,STATS",OTH,MMLA Handbook,VIRT,STEM,IND,INSTR,K12,MF
2155422499,a multimodal analysis of pair work engagement episodes: implications for emi lecturer training,Teresa Morell,2022,Training,"VIDEO,AUDIO,PPA","TRANS,PPA,QUAL,POSE,ACT",QUAL,OTH,JEAP,PHYS,OTH,MULTI,TRAIN,PROF,MF
3754172825,detecting impasse during collaborative problem solving with multimodal learning analytics,Yingbo Ma,2022,Learning,"VIDEO,AUDIO","TRANS,PROS,SPECT,GAZE,POSE",CLS,HYBRID,LAK,VIRT,STEM,MULTI,INSTR,K12,MB
