UUID,Title,Mapped First Author,Year,Environment Type (learning or training),Mapped Data Collection Mediums,Mapped Modalities,Mapped Analysis Methods,Mapped Fusion Types,Mapped Publication Acronym,Mapped Full Publication,Sort Number,Environment Setting,Environment Subject,Participant Structure,Didactic Nature,Level of Instruction or Training,Analysis Approach,Analysis Results (w/ multimodal advantages),Full-Read 3 by Researcher,Reviewer,Reviewer Notes
1877483551,motion-based educational games: using multi-modal data to predict player’s performance,Serena Lee-Cultura,2020,Learning,"VIDEO,EYE,SENSOR","PULSE,TEMP,EDA,GAZE,POSE",CLS,MID,COG,IEEE Conference on Games,6,BLND,STEM,IND,INF,K12,MB,"Researchers show the ability to predict student's performance in embodied game using various data sources (gaze, physiological, skeleton). However, they note that using certain modalities (e.g., skeleton and physiological) reduce the predictive performance of the model.",Eduardo,2,
1877483551,motion-based educational games: using multi-modal data to predict player’s performance,Serena Lee-Cultura,2020,Learning,"VIDEO,EYE,SENSOR","PULSE,TEMP,EDA,GAZE,POSE",CLS,MID,COG,IEEE Conference on Games,6,BLND,STEM,IND,INSTR,K12,MB,,Joyce/Eduardo,1&2,
2000036002,predicting learners’ effortful behaviour in adaptive assessment using multimodal data,Kshitij Sharma,2020,Learning,"VIDEO,EYE,SENSOR","EDA,TEMP,PULSE,EEG,GAZE,AFFECT","CLUST,CLS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,7,VIRT,STEM,IND,INSTR,UNI,MB,"Findings provide evidence that HMMs can encode the relationship between effort and behaviour (captured by the multimodal data) in a more efficient way than the other methods. A practical implication of the approach is that the derived HMMs also pinpoint the moments to provide preventive/prescriptive feedback to the learners in real-time, by building-upon the relationship between behavioural patterns and the effort the learners are putting in.",Joyce,1,
2000036002,predicting learners’ effortful behaviour in adaptive assessment using multimodal data,Kshitij Sharma,2020,Learning,"VIDEO,EYE,SENSOR","EDA,TEMP,PULSE,EEG,GAZE,AFFECT","CLUST,CLS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,7,VIRT,STEM,IND,INSTR,UNI,MB,"The results show that the proposed method not only outperforms the contemporary classification algorithms but it also gives the educators several opportunities for providing (proactive) actionable feedback by pinpointing the exact moments in the learning activity
where feedback is needed.",Eduardo,2,
2000036002,predicting learners’ effortful behaviour in adaptive assessment using multimodal data,Kshitij Sharma,2020,Learning,"VIDEO,EYE,SENSOR","EDA,TEMP,PULSE,EEG,GAZE,AFFECT","CLUST,CLS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,7,VIRT,STEM,IND,INSTR,UNI,MB,,Joyce/Eduardo,1&2,
2070224207,detecting medical simulation errors with machine learning and multimodal data,Daniele Di Mitri,2019,Training,"VIDEO,MOTION,LOGS","POSE,LOGS",CLS,MID,CAIM,Conference on Artificial Intelligence in Medicine,11,BLND,PSY,IND,TRAIN,UNI,MB,"Used each Chest Compression as training sample by masking/windowing of the original time series, then trained an LSTM network with all these samples and were able to classify accurately the target classes, however discarding the rest of the time-series they were not able to detect if a CC happened. Author asks Doctorial Consortium how, given the available data, could they train a classifier able to detect whether a CC happened or not.",Joyce,1,
2070224207,detecting medical simulation errors with machine learning and multimodal data,Daniele Di Mitri,2019,Training,"VIDEO,MOTION,LOGS","POSE,LOGS",CLS,MID,CAIM,Conference on Artificial Intelligence in Medicine,11,BLND,PSY,IND,TRAIN,UNI,MB,"Trained an LSTM to predict ['too slow', 'on-point', 'too fast'] for Chest compression training. Achieved 70-75% accuracy.",Eduardo,2,
2070224207,detecting medical simulation errors with machine learning and multimodal data,Daniele Di Mitri,2019,Training,"VIDEO,MOTION,LOGS","POSE,LOGS",CLS,MID,CAIM,Conference on Artificial Intelligence in Medicine,11,BLND,PSY,IND,TRAIN,UNI,MB,,Joyce/Eduardo,1&2,
2634033325,controlled evaluation of a multimodal system to improve oral presentation skills in a real learning setting,Xavier Ochoa,2020,Training,"VIDEO,AUDIO,PPA","POSE,PROS,PPA",STATS,OTH,BJET,British Journal of Educational Technology,12,BLND,HUM,IND,INF,UNSP,MF,"Evidence found in this paper suggests that automated feedback has a positive effect on oral presentation quality, but that the strength of this effect is small. Furthermore, different oral presentation dimensions are affected differently by the use of the system (i.e., there are large gains in looking at the audience during the presentation, while there is a negligible improvement in the avoidance of filled pauses)",Joyce,1,
2634033325,controlled evaluation of a multimodal system to improve oral presentation skills in a real learning setting,Xavier Ochoa,2020,Training,"VIDEO,AUDIO,PPA","POSE,PROS,PPA",STATS,OTH,BJET,British Journal of Educational Technology,12,BLND,HUM,IND,TRAIN,UNSP,MF,Authors showcase that the training tool improved manually defined scores between an initial and second use of the tool.,Eduardo,2,
2634033325,controlled evaluation of a multimodal system to improve oral presentation skills in a real learning setting,Xavier Ochoa,2020,Training,"VIDEO,AUDIO,PPA","POSE,PROS,PPA",STATS,OTH,BJET,British Journal of Educational Technology,12,BLND,HUM,IND,TRAIN,UNSP,MF,,Joyce/Eduardo,1&2,
3051560548,temporal analysis of multimodal data to predict collaborative learning outcomes,Jennifer K. Olsen,2020,Learning,"LOGS,AUDIO,EYE","GAZE,LOGS,PROS,TRANS,QUAL",REG,MID,BJET,British Journal of Educational Technology,13,VIRT,STEM,MULTI,INSTR,K12,MB,"Assessing the relation of dual gaze, tutor log, audio and dialog data to students’ learning gains, we find that a combination of modalities, especially those at a smaller time scale, such as gaze and audio, provides a more accurate prediction of learning gains than models with a single modality.",Joyce,1,
3051560548,temporal analysis of multimodal data to predict collaborative learning outcomes,Jennifer K. Olsen,2020,Learning,"LOGS,AUDIO,EYE","GAZE,LOGS,PROS,TRANS,QUAL",REG,MID,BJET,British Journal of Educational Technology,13,VIRT,STEM,MULTI,INSTR,K12,MB,Evaluating how multimodal features contribute to a model's performance to predict learning gains. Audio features introduce noise that negatively impacted the error of the model.,Eduardo,2,
3051560548,temporal analysis of multimodal data to predict collaborative learning outcomes,Jennifer K. Olsen,2020,Learning,"LOGS,AUDIO,EYE","GAZE,LOGS,PROS,TRANS,QUAL",REG,MID,BJET,British Journal of Educational Technology,13,VIRT,STEM,MULTI,INSTR,K12,MB,,Joyce/Eduardo,1&2,
3339002981,estimation of success in collaborative learning based on multimodal learning analytics features,Daniel Spikol,2017,Learning,"EYE,LOGS,VIDEO,AUDIO","GAZE,LOGS,PROS,POSE",CLS,MID,ICALT,International Conference on Advanced Learning Technologies,14,VIRT,STEM,MULTI,INSTR,UNI,MB,"Assessing the relation of dual gaze, tutor log, audio and dialog data to students’ learning gains, authors found that a combination of modalities, especially those at a smaller time scale, such as gaze and audio, provides a more accurate prediction of learning gains than models with a single modality.",Joyce,1,
3339002981,estimation of success in collaborative learning based on multimodal learning analytics features,Daniel Spikol,2017,Learning,"EYE,LOGS,VIDEO,AUDIO","GAZE,LOGS,PROS,POSE",CLS,MID,ICALT,International Conference on Advanced Learning Technologies,14,VIRT,STEM,MULTI,INSTR,UNI,MB,"Predicting the learning gains via classification (bad, ok, good) through gaze, logs, audio, and dialog. Determined that distance measures between hands and gaze fixations was the key features to predict students' performance.",Eduardo,2,
3339002981,estimation of success in collaborative learning based on multimodal learning analytics features,Daniel Spikol,2017,Learning,"EYE,LOGS,VIDEO,AUDIO","GAZE,LOGS,PROS,POSE",CLS,MID,ICALT,International Conference on Advanced Learning Technologies,14,VIRT,STEM,MULTI,INSTR,UNI,MB,,Joyce/Eduardo,1&2,
3408664396,multimodal student engagement recognition in prosocial games,Athanasios Psaltis,2017,Learning,"VIDEO,LOGS","POSE,AFFECT,LOGS",CLS,LATE,T-CIAIG,Transactions on Computational Intelligence and AI in Games,15,BLND,HUM,IND,INF,K12,MB,"Presented a novel methodology for the automatic recognition of student engagement in prosocial games aiming to capture the different dimensions of engagement, i.e., behavioral, cognitive, and affective, by exploiting real-time engagement cues from different input modalities (body motion and facial expression analysis to identify the affective state of students, features related to their cognitive and behavioral engagement based on the analysis of their interaction with the game)",Joyce,1,
3408664396,multimodal student engagement recognition in prosocial games,Athanasios Psaltis,2017,Learning,"VIDEO,LOGS","POSE,AFFECT,LOGS",CLS,LATE,T-CIAIG,Transactions on Computational Intelligence and AI in Games,15,BLND,HUM,IND,INF,K12,MB,Same as Joyce (first paragraph in conclusion),Eduardo,2,
3408664396,multimodal student engagement recognition in prosocial games,Athanasios Psaltis,2017,Learning,"VIDEO,LOGS","POSE,AFFECT,LOGS",CLS,LATE,T-CIAIG,Transactions on Computational Intelligence and AI in Games,15,BLND,HUM,IND,INF,K12,MB,,Joyce/Eduardo,1&2,
804659204,towards smart educational recommendations with reinforcement learning in classroom,Su Liu,2018,Learning,"VIDEO,SENSOR","PULSE,AFFECT,GAZE",CLS,MID,TALE,"International Conference on Teaching, Assessment and Learning for Engineering",48,UNSP,UNSP,IND,INSTR,UNSP,MB,"By aplying reinforcement learning to select appropriate learning activities without being aware of the learning model of each student, simulation results showed that the proposed learning recommendation systems can promote students’ performance with higher average scores in the tests",Joyce,1,
804659204,towards smart educational recommendations with reinforcement learning in classroom,Su Liu,2018,Learning,"VIDEO,SENSOR","PULSE,AFFECT,GAZE",CLS,MID,TALE,"International Conference on Teaching, Assessment and Learning for Engineering",48,UNSP,UNSP,IND,INSTR,UNSP,MB,Determined that an RL activity recommendataiton system would assit (via simulated data) teachers in select the optimal learning activity to optimize collective learning gains in a classroom.,Eduardo,2,
804659204,towards smart educational recommendations with reinforcement learning in classroom,Su Liu,2018,Learning,"VIDEO,SENSOR","PULSE,AFFECT,GAZE",CLS,MID,TALE,"International Conference on Teaching, Assessment and Learning for Engineering",48,UNSP,UNSP,IND,INSTR,UNSP,MB,,Joyce/Eduardo,1&2,
1581261659,early prediction of visitor engagement in science museums with multimodal learning analytics,Andrew Emerson,2020,Learning,"VIDEO,EYE,LOGS","POSE,GEST,AFFECT,GAZE,LOGS",REG,MID,ICMI,International Conference on Multimodal Interaction,49,VIRT,STEM,IND,INF,K12,MB,"The evaluation revealed that predictive models of visitor dwell time can make improved predictions over time, and using additional modalities yields better performance as visitors near the end of their interactions. Random forest models outperformed competing models on three of the four modality combinations, and Lasso regression performed best on the unimodal configuration for predicting dwell time. Notably, overall predictive performance improves when removing eye gaze and interaction log modalities. However, removing facial expression results in a steep drop in performance.",Joyce,1,
1581261659,early prediction of visitor engagement in science museums with multimodal learning analytics,Andrew Emerson,2020,Learning,"VIDEO,EYE,LOGS","POSE,GEST,AFFECT,GAZE,LOGS",REG,MID,ICMI,International Conference on Multimodal Interaction,49,VIRT,STEM,IND,INF,K12,MB,Same as Joyce (first paragraph in conclusion),Eduardo,2,
1581261659,early prediction of visitor engagement in science museums with multimodal learning analytics,Andrew Emerson,2020,Learning,"VIDEO,EYE,LOGS","POSE,GEST,AFFECT,GAZE,LOGS",REG,MID,ICMI,International Conference on Multimodal Interaction,49,VIRT,STEM,IND,INF,K12,MB,,Joyce/Eduardo,1&2,
2836996318,predicting learners' emotions in mobile mooc learning via a multimodal intelligent tutor,Phuong Pham,2018,Learning,VIDEO,"AFFECT,PULSE",REG,LATE,ITS,International Conference on Intelligent Tutoring Systems,50,VIRT,STEM,IND,INSTR,UNI,MB,The tutor can detect 6 emotions in mobile MOOC learning reliably with high accuracy; it can also predict learning outcomes; work rpoves it is feasible to track both PPG signals and facial expressions in real time in a scalable manner on today’s unmodified smartphones.,Joyce,1,
2836996318,predicting learners' emotions in mobile mooc learning via a multimodal intelligent tutor,Phuong Pham,2018,Learning,VIDEO,"AFFECT,PULSE",REG,LATE,ITS,International Conference on Intelligent Tutoring Systems,50,VIRT,STEM,IND,INSTR,UNI,MB,"The study shows the feasibility of capturing rich and fine-grained physiological signals such as PPG signals and facial expressions in mobile learning contexts without introducing any addi‐
tional hardware. Experimental results show that PPG signals and facial expressions collected by AttentiveLearner2 in real time are complementary and can serve as fine-grained, rich signals to understand learners’ emotions. By capturing the temporal dynamics of both feature channels, AttentiveLearner2 can achieve higher performance by combining both PPG features and FEA features. Our approach is complementary to today’s existing technique such as clickstream analysis and is promising towards enabling personalized interventions for mobile MOOC learning.",Eduardo,2,
2836996318,predicting learners' emotions in mobile mooc learning via a multimodal intelligent tutor,Phuong Pham,2018,Learning,VIDEO,"AFFECT,PULSE",REG,LATE,ITS,International Conference on Intelligent Tutoring Systems,50,VIRT,STEM,IND,INSTR,UNI,MB,,Joyce/Eduardo,1&2,
32184286,once more with feeling: emotions in multimodal learning analytics,Marcus Kubsch,2022,Learning,"SURVEY,PPA,AUDIO","INTER,SURVEY,TRANS,PROS,AFFECT","CLS,REG,STATS",OTH,MMLA Handbook,The Multimodal Learning Analytics Handbook,51,PHYS,STEM,IND,INSTR,K12,MB,"Results demonstrate how NLP and ML techniques allow us to use different modalities of the same data, voice and transcript, and different modalities of different data sources, voice data from interviews, answers to a goal orientation questionnaire, and answers to open-ended questions about energy, in order to better understand individual differences in students’ performances",Joyce,1,
32184286,once more with feeling: emotions in multimodal learning analytics,Marcus Kubsch,2022,Learning,"SURVEY,PPA,AUDIO","INTER,SURVEY,TRANS,PROS,AFFECT","CLS,REG,STATS",OTH,MMLA Handbook,The Multimodal Learning Analytics Handbook,51,PHYS,STEM,IND,INSTR,K12,"MB, MF","Used text and audio to predict student's affect. With the affect, the authors' explored its statistical relation to student's knowledge. Results point that they need more data to improve performance in affect prediction but promising direction.",Eduardo,2,
32184286,once more with feeling: emotions in multimodal learning analytics,Marcus Kubsch,2022,Learning,"SURVEY,PPA,AUDIO","INTER,SURVEY,TRANS,PROS,AFFECT","CLS,REG,STATS",OTH,MMLA Handbook,The Multimodal Learning Analytics Handbook,51,PHYS,STEM,IND,INSTR,K12,"MB, MF",,Joyce/Eduardo,1&2,
433919853,understanding fun in learning to code: a multi-modal data approach,Gabriella Tisza,2022,Learning,"SENSOR,VIDEO,PPA","TEMP,PULSE,EDA,BP,AFFECT","REG,STATS",MID,IDC,Interaction Design and Children Conference,52,VIRT,STEM,IND,INSTR,K12,MB,"Sadness, anger and stress are negatively, and arousal is positively related to students’ relative learning gains; experienced fun is positively related to students’ RLG",Joyce,1,
433919853,understanding fun in learning to code: a multi-modal data approach,Gabriella Tisza,2022,Learning,"SENSOR,VIDEO,PPA","TEMP,PULSE,EDA,BP,AFFECT","REG,STATS",MID,IDC,Interaction Design and Children Conference,52,VIRT,STEM,IND,INSTR,K12,MF,"Our findings support endeavors of educators, designers, and re-
searchers to make learning to code a fun experience, as we found a positive relationship between those. Further research studies could aim to improve the applicability of physiological measure devices (e.g. wristbands) for children.",Eduardo,2,
433919853,understanding fun in learning to code: a multi-modal data approach,Gabriella Tisza,2022,Learning,"SENSOR,VIDEO,PPA","TEMP,PULSE,EDA,BP,AFFECT","REG,STATS",MID,IDC,Interaction Design and Children Conference,52,VIRT,STEM,IND,INSTR,K12,"MB, MF",,Joyce/Eduardo,1&2,
483140962,investigating multimodal affect sensing in an affective tutoring system using unobtrusive sensors,Hua Leong Fwa,2018,Learning,"VIDEO,LOGS","POSE,ACT,LOGS",CLS,MID,PPIG,Workshop Psychology of Programming Interest Group,53,VIRT,STEM,IND,INSTR,UNI,MB,"A multimodal approach offers higher accuracy and better robustness as compared to a unimodal approach (multimodal fusion leads to higher detection accuracy over unimodal model). In addition, the inclusion of keystrokes and mouse clicks makes up for the detection gap where video based sensing modes (facial and head postures) are not available.",Joyce,1,
483140962,investigating multimodal affect sensing in an affective tutoring system using unobtrusive sensors,Hua Leong Fwa,2018,Learning,"VIDEO,LOGS","POSE,ACT,LOGS",CLS,MID,PPIG,Workshop Psychology of Programming Interest Group,53,VIRT,STEM,IND,INSTR,UNI,MB,"The main goal of this study is to xplore automated techniques for the detection of frustration in a naturalistic learning environment. With adequate detection of frustration on a moment by moment
basis, hints and tutorial supports can be provided to the students to overcome learning barriers and
alleviate their frustration so as to sustain their engagement in learning.",Eduardo,2,
483140962,investigating multimodal affect sensing in an affective tutoring system using unobtrusive sensors,Hua Leong Fwa,2018,Learning,"VIDEO,LOGS","POSE,ACT,LOGS",CLS,MID,PPIG,Workshop Psychology of Programming Interest Group,53,VIRT,STEM,IND,INSTR,UNI,MB,,Joyce/Eduardo,1&2,
3308658121,exploring collaboration using motion sensors and multi-modal learning analytics,Joseph M. Reilly,2018,Learning,"VIDEO,AUDIO,PPA","PPA,RPA,POSE,GEST","CLUST,PATT,STATS",OTH,EDM,International Conference on Educational Data Mining,54,BLND,STEM,MULTI,INSTR,UNI,MF,Significant correlations found between average movement of points along the upper right side of participants’ bodies with outcome measures indicates the importance of gesturing and physical movement when communicating ideas.,Joyce,1,
3308658121,exploring collaboration using motion sensors and multi-modal learning analytics,Joseph M. Reilly,2018,Learning,"VIDEO,AUDIO,PPA","PPA,RPA,POSE,GEST","CLUST,PATT,STATS",OTH,EDM,International Conference on Educational Data Mining,54,BLND,STEM,MULTI,INF,UNI,"MB, MF","We plan to further identify productive micro-behaviors from the Kinect data to gain additional insights in the ways that dyads synchronized their actions. Future work with regards to prototypical postures would also explore both participants in a dyad at once, clustering on both joint angles simultaneously. This may reveal combinations of postures that are informative and could extend our exploration of physical synchrony within dyads.
The differences between dyads in different conditions will also be a main focus of analysis moving forward.",Eduardo,2,
3308658121,exploring collaboration using motion sensors and multi-modal learning analytics,Joseph M. Reilly,2018,Learning,"VIDEO,AUDIO,PPA","PPA,RPA,POSE,GEST","CLUST,PATT,STATS",OTH,EDM,International Conference on Educational Data Mining,54,BLND,STEM,MULTI,INSTR,UNI,"MB, MF",,Joyce/Eduardo,1&2,
1847468084,computationally augmented ethnography: emotion tracking and learning in museum games,Kit Martin,2019,Learning,"VIDEO,AUDIO,PPA,RPA","TRANS,AFFECT,QUAL",QUAL,OTH,ICQE,International Conference on Quantitative Ethnography,55,VIRT,STEM,MULTI,INF,UNSP,MB,"Authors present an initial pilot using these methods in concert to identify key moments in multiple modalities. While the use of constructivist dialogue mapping showed that the users learned during their interaction with Ant Adaption, emotional logging identified alternative moments of learning outside of their analytic framework.",Joyce,1,
1847468084,computationally augmented ethnography: emotion tracking and learning in museum games,Kit Martin,2019,Learning,"VIDEO,AUDIO,PPA,RPA","TRANS,AFFECT,QUAL",QUAL,OTH,ICQE,International Conference on Quantitative Ethnography,55,BLND,STEM,MULTI,INF,UNSP,MF,"This paper presented a preliminary approach to augment qualitative analysis of an
informal learning environment. Using techniques from multimodal learning analytics,
we were able to expand our analysis of learning while participants interacted with a
multitouch environment. Our methodological approach required us to extract emotions
from the low-level logs of facial action units using FACET and then revisit video
corresponding to particular FACET values to identify moments of high emotional stimulation theoretically implicated in learning.",Eduardo,2,
1847468084,computationally augmented ethnography: emotion tracking and learning in museum games,Kit Martin,2019,Learning,"VIDEO,AUDIO,PPA,RPA","TRANS,AFFECT,QUAL",QUAL,OTH,ICQE,International Conference on Quantitative Ethnography,55,VIRT,STEM,MULTI,INF,UNSP,"MB, MF",,Joyce/Eduardo,1&2,
2345021698,exploring collaborative writing of user stories with multimodal learning analytics: a case study on a software engineering course,René Noël,2018,Learning,"AUDIO,PPA,RPA","RPA,PROS","QUAL,NET,STATS",OTH,Access,IEEE Access,56,PHYS,STEM,MULTI,INF,UNI,"MB, MF","``There was no difference between the proportion of the session spent being bored or frustrated or in the achievement scores for the two conditions. In order to determine whether the effect on achievement was different depending on length of exposure, participants with a duration less than 60 minutes were excluded from the analysis. However, there was still no significant difference between achievement scores from intervention and control sessions for the group as a whole or for each subgroup.``",Eduardo,1,"model-free for correlation study, mode-based for collaborative and non-collaborative classification"
2345021698,exploring collaborative writing of user stories with multimodal learning analytics: a case study on a software engineering course,René Noël,2018,Learning,"AUDIO,PPA,RPA","RPA,PROS","QUAL,NET,STATS",OTH,Access,IEEE Access,56,PHYS,STEM,MULTI,INF,UNI,"MB, MF","Main findings of the case study are the relationships between prior experience in software requirements and the way the team members collaborate, and the lower productivity of low experienced groups. No evidence was found that performance of domain experts was superior from non-experts during collaborative problem-solving sessions. Although it was stated that low experience subjects produced more user stories, a greater productivity of top experience subjects was not statistically verified.",Joyce,2,
2345021698,exploring collaborative writing of user stories with multimodal learning analytics: a case study on a software engineering course,René Noël,2018,Learning,"AUDIO,PPA,RPA","RPA,PROS","QUAL,NET,STATS",OTH,Access,IEEE Access,56,PHYS,STEM,MULTI,INF,UNI,"MB, MF",,Eduardo/Joyce,1&2,
3796643912,an evaluation of an adaptive learning system based on multimodal affect recognition for learners with intellectual disabilities,Penelope J. Standen,2020,Learning,"VIDEO,AUDIO,LOGS,RPA","AFFECT,POSE,LOGS,RPA,GAZE,PROS,GEST","CLS,STATS",HYBRID,BJET,British Journal of Educational Technology,57,VIRT,UNSP,IND,INSTR,K12,MF,"This is the first study to evaluate an adaptive learning system for learners with ID based on multi-modal affect recognition. Three separate states were automatically identified, with lower levels of the state labelled “boredom” having the strongest link to learning achievement. Both those labelled “frustration” and “engagement” were positively related to achievement. Our results are in line with other studies showing that engagement increases when activities are tailored to the personal needs
and emotional states of learners (Athanasiadis et al., 2017), but no significant difference in learn-ing achievement was found (at least for the period of our study) when adaption was based on both the affective state and achievement of the learner, compared with achievement alone.",Eduardo,1,statistical model -> model-free
3796643912,an evaluation of an adaptive learning system based on multimodal affect recognition for learners with intellectual disabilities,Penelope J. Standen,2020,Learning,"VIDEO,AUDIO,LOGS,RPA","AFFECT,POSE,LOGS,RPA,GAZE,PROS,GEST","CLS,STATS",HYBRID,BJET,British Journal of Educational Technology,57,VIRT,"HUM, OTH, STEM",IND,INSTR,K12,MB,"Results suggest that engagement does increase when activities are tailored to the personal needs and emotional state of the learner and that the system was promoting affective states that in turn promote learning. However, longer exposure is necessary to determine the effect on learning.",Joyce,2,
3796643912,an evaluation of an adaptive learning system based on multimodal affect recognition for learners with intellectual disabilities,Penelope J. Standen,2020,Learning,"VIDEO,AUDIO,LOGS,RPA","AFFECT,POSE,LOGS,RPA,GAZE,PROS,GEST","CLS,STATS",HYBRID,BJET,British Journal of Educational Technology,57,VIRT,"HUM, OTH, STEM",IND,INSTR,K12,MB,,Eduardo/Joyce,1&2,
205660768,multimodal learning analytics to investigate cognitive load during online problem solving,Charlotte Larmuseau,2020,Learning,"PPA,SENSOR","PPA,PULSE,EDA","STATS,CLS",EARLY,BJET,British Journal of Educational Technology,58,VIRT,OTH,IND,UNSP,K12,MF,"Against our expectations, results revealed that physiological data could not be used to detect differences in CL based on intrinsic and extraneous manipulations. By contrast, most of the significant results are related to OSPAN and the baseline measurement. Based on our findings related to OSPAN, we might be able to conclude that HR, HRV and ST is more sensitive to high CL, namely, exceeding the learner’s cognitive capacity and the related mental states (ie, stress). In this respect, as high CL can also provoke stress, it is not always clear what exactly is measured via physiological data.",Eduardo,1,Relating to cognitive load theory as their model
205660768,multimodal learning analytics to investigate cognitive load during online problem solving,Charlotte Larmuseau,2020,Learning,"PPA,SENSOR","PPA,PULSE,EDA","STATS,CLS",EARLY,BJET,British Journal of Educational Technology,58,VIRT,STEM,IND,INSTR,"K12, UNI","MB, MF","This study manipulated intrinsic and extraneous load to investigate how physiological features, namely, GSR, ST and HR(V) vary as a result of changes in CL. Results revealed no significant differences between the manipulated conditions in terms of physiological data. Nonetheless, HR and ST were significantly related to self-reported CL, whereas ST to task performance. Additionally, this study revealed the potential of ST and HR to assess high CL.",Joyce,2,
