UUID,Title,Mapped First Author,Year,Environment Type (learning or training),Mapped Data Collection Mediums,Mapped Modalities,Mapped Analysis Methods,Mapped Fusion Types,Mapped Publication Acronym,Mapped Full Publication,Full-Read 2 by Researcher,Reviewer Number,Sort Number
1469065963,examining socially shared regulation and shared physiological arousal events with multimodal learning analytics,Andy Nguyen,2022,Learning,"VIDEO,AUDIO,SENSOR","QUAL,EDA","PATT,CLS,CLUST",HYBRID,BJET,British Journal of Educational Technology,Joyce,2,4
1469065963,examining socially shared regulation and shared physiological arousal events with multimodal learning analytics,Andy Nguyen,2022,Learning,"VIDEO,AUDIO,SENSOR","QUAL,EDA","PATT,CLS,CLUST",HYBRID,BJET,British Journal of Educational Technology,Joyce/Eduardo,3,4
1598166515,multimodal learning analytics for game-based learning,Andrew Emerson,2020,Learning,"VIDEO,LOGS,EYE","AFFECT,GAZE,LOGS",CLS,MID,BJET,British Journal of Educational Technology,Eduardo,1,5
1598166515,multimodal learning analytics for game-based learning,Andrew Emerson,2020,Learning,"VIDEO,LOGS,EYE","AFFECT,GAZE,LOGS,PPA","CLS,STATS",MID,BJET,British Journal of Educational Technology,Joyce,2,5
1598166515,multimodal learning analytics for game-based learning,Andrew Emerson,2020,Learning,"VIDEO,LOGS,EYE","AFFECT,GAZE,LOGS,PPA","CLS,STATS",MID,BJET,British Journal of Educational Technology,Joyce/Eduardo,3,5
1877483551,motion-based educational games: using multi-modal data to predict player’s performance,Serena Lee-Cultura,2020,Learning,"VIDEO,EYE,SENSOR","EDA,GAZE,POSE",CLS,MID,COG,IEEE Conference on Games,Eduardo,1,6
1877483551,motion-based educational games: using multi-modal data to predict player’s performance,Serena Lee-Cultura,2020,Learning,"VIDEO,EYE,SENSOR","PULSE,TEMP,EDA,GAZE,POSE",CLS,MID,COG,IEEE Conference on Games,Joyce,2,6
1877483551,motion-based educational games: using multi-modal data to predict player’s performance,Serena Lee-Cultura,2020,Learning,"VIDEO,EYE,SENSOR","PULSE,TEMP,EDA,GAZE,POSE",CLS,MID,COG,IEEE Conference on Games,Joyce/Eduardo,3,6
2000036002,predicting learners’ effortful behaviour in adaptive assessment using multimodal data,Kshitij Sharma,2020,Learning,"VIDEO,EYE,SENSOR","EDA,TEMP,PULSE,EEG,GAZE,AFFECT","CLUST,CLS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,Eduardo,1,7
2000036002,predicting learners’ effortful behaviour in adaptive assessment using multimodal data,Kshitij Sharma,2020,Learning,"VIDEO,EYE,SENSOR","EDA,TEMP,PULSE,EEG,GAZE,AFFECT","CLUST,CLS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,Joyce,2,7
2000036002,predicting learners’ effortful behaviour in adaptive assessment using multimodal data,Kshitij Sharma,2020,Learning,"VIDEO,EYE,SENSOR","EDA,TEMP,PULSE,EEG,GAZE,AFFECT","CLUST,CLS,PATT",MID,LAK,International Conference on Learning Analytics & Knowledge,Eduardo/Joyce,3,7
518268671,using multimodal learning analytics to explore collaboration in a sustainability co-located tabletop game,María Ximena López,2021,Learning,"SURVEY,LOGS,AUDIO,VIDEO","LOGS,SURVEY,GAZE,PROS",STATS,NONE,ECGBL,European Conference on Games Based Learning,Clayton,1,8
518268671,using multimodal learning analytics to explore collaboration in a sustainability co-located tabletop game,María Ximena López,2021,Learning,"SURVEY,LOGS,AUDIO,VIDEO","LOGS,SURVEY,GAZE,PROS",STATS,NONE,ECGBL,European Conference on Games Based Learning,Caleb,2,8
518268671,using multimodal learning analytics to explore collaboration in a sustainability co-located tabletop game,María Ximena López,2021,Learning,"SURVEY,LOGS,AUDIO,VIDEO","LOGS,SURVEY,GAZE,PROS",STATS,NONE,ECGBL,European Conference on Games Based Learning,Caleb/Clayton,3,8
957160695,virtual debate coach design: assessing multimodal argumentation performance,Volha Petukhova,2017,Training,"VIDEO,AUDIO,PPA","GEST,TRANS,PPA,PROS,GAZE,SURVEY","STATS,CLS,QUAL",MID,ICMI,International Conference on Multimodal Interaction,Clayton,1,9
957160695,virtual debate coach design: assessing multimodal argumentation performance,Volha Petukhova,2017,Training,"VIDEO,AUDIO","GEST,TRANS,PROS,SURVEY","STATS,CLS,QUAL",MID,ICMI,International Conference on Multimodal Interaction,Caleb,2,9
957160695,virtual debate coach design: assessing multimodal argumentation performance,Volha Petukhova,2017,Training,"VIDEO,AUDIO","GEST,TRANS,PROS,SURVEY,GAZE","STATS,CLS,QUAL",MID,ICMI,International Conference on Multimodal Interaction,Caleb/Clayton,3,9
3009548670,real-time multimodal feedback with the cpr tutor,Daniele Di Mitri,2020,Training,"LOGS,VIDEO,SENSOR,SCREEN","POSE,EMG,GEST","CLS,STATS",EARLY,AIED,International Conference on Artificial Intelligence in Education,Clayton,1,10
3009548670,real-time multimodal feedback with the cpr tutor,Daniele Di Mitri,2020,Training,"LOGS,VIDEO,SENSOR,MOTION","POSE,EMG,GEST",CLS,HYBRID,AIED,International Conference on Artificial Intelligence in Education,Caleb,2,10
3009548670,real-time multimodal feedback with the cpr tutor,Daniele Di Mitri,2020,Training,"LOGS,VIDEO,SENSOR,MOTION","POSE,EMG,GEST",CLS,HYBRID,AIED,International Conference on Artificial Intelligence in Education,Caleb/Clayton,3,10
2070224207,detecting medical simulation errors with machine learning and multimodal data,Daniele Di Mitri,2019,Training,"VIDEO,MOTION,LOGS","POSE,LOGS",CLS,MID,CAIM,Conference on Artificial Intelligence in Medicine,Eduardo,1,11
2070224207,detecting medical simulation errors with machine learning and multimodal data,Daniele Di Mitri,2019,Training,"VIDEO,MOTION,LOGS","POSE,LOGS",CLS,MID,CAIM,Conference on Artificial Intelligence in Medicine,Joyce,2,11
2070224207,detecting medical simulation errors with machine learning and multimodal data,Daniele Di Mitri,2019,Training,"VIDEO,MOTION,LOGS","POSE,LOGS",CLS,MID,CAIM,Conference on Artificial Intelligence in Medicine,Eduardo/Joyce,3,11
2634033325,controlled evaluation of a multimodal system to improve oral presentation skills in a real learning setting,Xavier Ochoa,2020,Training,"VIDEO,AUDIO,PPA","POSE,PROS,PPA",STATS,NONE,BJET,British Journal of Educational Technology,Eduardo,1,12
2634033325,controlled evaluation of a multimodal system to improve oral presentation skills in a real learning setting,Xavier Ochoa,2020,Training,"VIDEO,AUDIO,PPA","POSE,PROS,PPA",STATS,NONE,BJET,British Journal of Educational Technology,Joyce,2,12
2634033325,controlled evaluation of a multimodal system to improve oral presentation skills in a real learning setting,Xavier Ochoa,2020,Training,"VIDEO,AUDIO,PPA","POSE,PROS,PPA",STATS,NONE,BJET,British Journal of Educational Technology,Eduardo/Joyce,3,12
3051560548,temporal analysis of multimodal data to predict collaborative learning outcomes,Jennifer K. Olsen,2020,Learning,"LOGS,AUDIO,EYE","GAZE,LOGS,PROS,QUAL",REG,MID,BJET,British Journal of Educational Technology,Eduardo,1,13
3051560548,temporal analysis of multimodal data to predict collaborative learning outcomes,Jennifer K. Olsen,2020,Learning,"LOGS,AUDIO,EYE","GAZE,LOGS,PROS,TRANS,QUAL","REG,QUAL",MID,BJET,British Journal of Educational Technology,Joyce,2,13
3051560548,temporal analysis of multimodal data to predict collaborative learning outcomes,Jennifer K. Olsen,2020,Learning,"LOGS,AUDIO,EYE","GAZE,LOGS,PROS,TRANS,QUAL",REG,MID,BJET,British Journal of Educational Technology,Joyce/Eduardo,3,13
3339002981,estimation of success in collaborative learning based on multimodal learning analytics features,Daniel Spikol,2017,Learning,"EYE,LOGS,VIDEO,AUDIO","GAZE,LOGS,PROS,POSE",CLS,MID,ICALT,International Conference on Advanced Learning Technologies,Eduardo,1,14
3339002981,estimation of success in collaborative learning based on multimodal learning analytics features,Daniel Spikol,2017,Learning,"EYE,LOGS,VIDEO,AUDIO","GAZE,LOGS,PROS,POSE",CLS,MID,ICALT,International Conference on Advanced Learning Technologies,Joyce,2,14
3339002981,estimation of success in collaborative learning based on multimodal learning analytics features,Daniel Spikol,2017,Learning,"EYE,LOGS,VIDEO,AUDIO","GAZE,LOGS,PROS,POSE",CLS,MID,ICALT,International Conference on Advanced Learning Technologies,Eduardo/Joyce,3,14
3408664396,multimodal student engagement recognition in prosocial games,Athanasios Psaltis,2017,Learning,"VIDEO,SURVEY,LOGS","POSE,AFFECT,LOGS",CLS,MID,T-CIAIG,Transactions on Computational Intelligence and AI in Games,Eduardo,1,15
3408664396,multimodal student engagement recognition in prosocial games,Athanasios Psaltis,2017,Learning,"VIDEO,LOGS","POSE,AFFECT,LOGS",CLS,"HYBRID,LATE",T-CIAIG,Transactions on Computational Intelligence and AI in Games,Joyce,2,15
3408664396,multimodal student engagement recognition in prosocial games,Athanasios Psaltis,2017,Learning,"VIDEO,LOGS","POSE,AFFECT,LOGS",CLS,LATE,T-CIAIG,Transactions on Computational Intelligence and AI in Games,Joyce/Eduardo,3,15
3448122334,"investigating the impact of a real-time, multimodal student engagement analytics technology in authentic classrooms",Sinem Aslan,2019,Learning,"VIDEO,LOGS,SCREEN,AUDIO,SURVEY,RPA,PPA","AFFECT,LOGS,POSE","CLS,QUAL,STATS",LATE,CHI,Conference on Human Factors in Computing Systems,Clayton,1,16
3448122334,"investigating the impact of a real-time, multimodal student engagement analytics technology in authentic classrooms",Sinem Aslan,2019,Learning,"VIDEO,LOGS,SCREEN,AUDIO,SURVEY,RPA,INTER","AFFECT,LOGS,POSE,QUAL,INTER,SURVEY,RPA","QUAL,STATS,CLS",LATE,CHI,Conference on Human Factors in Computing Systems,Caleb,2,16
3448122334,"investigating the impact of a real-time, multimodal student engagement analytics technology in authentic classrooms",Sinem Aslan,2019,Learning,"VIDEO,LOGS,SCREEN,AUDIO,SURVEY,RPA,PPA,INTER","AFFECT,LOGS,POSE,QUAL,INTER,SURVEY,RPA","QUAL,STATS,CLS",LATE,CHI,Conference on Human Factors in Computing Systems,Caleb/Clayton,3,16
2497456347,the rap system: automatic feedback of oral presentation,Xavier Ochoa,2018,Training,"AUDIO,VIDEO,PPA,SURVEY","PPA,GAZE,POSE,PROS","CLS,STATS,QUAL",LATE,LAK,International Conference on Learning Analytics & Knowledge,Clayton,1,17
2497456347,the rap system: automatic feedback of oral presentation,Xavier Ochoa,2018,Training,"AUDIO,VIDEO,PPA,SURVEY","PPA,GAZE,POSE,PROS","CLS,STATS,QUAL",MID,LAK,International Conference on Learning Analytics & Knowledge,Caleb,2,17
2497456347,the rap system: automatic feedback of oral presentation,Xavier Ochoa,2018,Training,"AUDIO,VIDEO,PPA,SURVEY","PPA,GAZE,POSE,PROS","CLS,STATS,QUAL",LATE,LAK,International Conference on Learning Analytics & Knowledge,Caleb/Clayton,3,17
3660066725,children's play and problem solving in motion-based educational games: synergies between human annotations and multi-modal data,Serena Lee-Cultura,2021,Learning,"VIDEO,SENSOR,EYE,LOGS","ACT,GAZE,EDA,PULSE,AFFECT,FATIG,LOGS,QUAL,TEMP","STATS,QUAL",NONE,IDC,Interaction Design and Children Conference,Clayton,1,18
3660066725,children's play and problem solving in motion-based educational games: synergies between human annotations and multi-modal data,Serena Lee-Cultura,2021,Learning,"VIDEO,SENSOR,EYE,LOGS","ACT,GAZE,EDA,PULSE,AFFECT,FATIG,LOGS,QUAL,TEMP","STATS,QUAL",QUAL,IDC,Interaction Design and Children Conference,Caleb,2,18
3660066725,children's play and problem solving in motion-based educational games: synergies between human annotations and multi-modal data,Serena Lee-Cultura,2021,Learning,"VIDEO,SENSOR,EYE,LOGS","ACT,GAZE,EDA,PULSE,AFFECT,FATIG,LOGS,QUAL,TEMP","STATS,QUAL",NONE,IDC,Interaction Design and Children Conference,Caleb/Clayton,3,18
3783339081,a novel method for the in-depth multimodal analysis of student learning trajectories in intelligent tutoring systems,Ran Liu,2018,Learning,"LOGS,AUDIO,SCREEN,PPA","LOGS,TRANS,ACT,QUAL,PPA","STATS,REG,QUAL,CLS",EARLY,JLA,Journal of Learning Analytics,Clayton,1,19
3783339081,a novel method for the in-depth multimodal analysis of student learning trajectories in intelligent tutoring systems,Ran Liu,2018,Learning,"AUDIO,SCREEN,PPA","TRANS,ACT,QUAL,PPA","STATS,REG,QUAL",MID,JLA,Journal of Learning Analytics,Caleb,2,19
3783339081,a novel method for the in-depth multimodal analysis of student learning trajectories in intelligent tutoring systems,Ran Liu,2018,Learning,"LOGS,AUDIO,SCREEN,PPA","LOGS,TRANS,ACT,QUAL,PPA","STATS,REG,QUAL",MID,JLA,Journal of Learning Analytics,Caleb/Clayton,3,19
3095923626,a multimodal analysis of making,Marcelo Worsley,2017,Learning,"VIDEO,AUDIO,SENSOR,PPA,INTER","GEST,PPA,EDA,ACT,PROS,QUAL,INTER","STATS,CLUST,QUAL,PATT",EARLY,IJAIED,International Journal of Artificial Intelligence in Education,Clayton,1,20
3095923626,a multimodal analysis of making,Marcelo Worsley,2017,Learning,"VIDEO,AUDIO,SENSOR","GEST,EDA,ACT,PROS,QUAL","STATS,CLUST,QUAL,PATT",EARLY,IJAIED,International Journal of Artificial Intelligence in Education,Caleb,2,20
3095923626,a multimodal analysis of making,Marcelo Worsley,2017,Learning,"VIDEO,AUDIO,SENSOR,PPA,INTER","GEST,PPA,EDA,ACT,PROS,QUAL,INTER","STATS,CLUST,QUAL,PATT",EARLY,IJAIED,International Journal of Artificial Intelligence in Education,Caleb/Clayton,3,20
85990093,multimodal markers of persuasive speech : designing a virtual debate coach,Volha Petukhova,2017,Training,"VIDEO,AUDIO","POSE,PROS",CLS,MID,INTERSPEECH,INTERSPEECH Conference,Caleb,1,21
85990093,multimodal markers of persuasive speech : designing a virtual debate coach,Volha Petukhova,2017,Training,"VIDEO,AUDIO","PROS,GEST","CLS,QUAL,STATS",MID,INTERSPEECH,INTERSPEECH Conference,Clayton,2,21
85990093,multimodal markers of persuasive speech : designing a virtual debate coach,Volha Petukhova,2017,Training,"VIDEO,AUDIO","PROS,GEST","CLS,QUAL,STATS",MID,INTERSPEECH,INTERSPEECH Conference,Caleb/Clayton,3,21
86191824,examining how different modes mediate adolescents’ interactions during their collaborative multimodal composing processes,Shiyan Jiang,2021,Learning,"SCREEN,INTER,PPA","INTER,QUAL",QUAL,QUAL,ILE,Interactive Learning Environments,Caleb,1,22
86191824,examining how different modes mediate adolescents’ interactions during their collaborative multimodal composing processes,Shiyan Jiang,2019,Learning,"SCREEN,INTER,PPA,AUDIO","INTER,QUAL,TRANS",QUAL,QUAL,ILE,Interactive Learning Environments,Clayton,2,22
86191824,examining how different modes mediate adolescents’ interactions during their collaborative multimodal composing processes,Shiyan Jiang,2019,Learning,"SCREEN,INTER,PPA,AUDIO","INTER,QUAL,TRANS",QUAL,QUAL,ILE,Interactive Learning Environments,Caleb/Clayton,3,22
818492192,understanding student learning trajectories using multimodal learning analytics within an embodied-interaction learning environment,Alejandro Andrade,2017,Learning,"VIDEO,LOGS,INTER","INTER,GAZE,LOGS",CLUST,HYBRID,LAK,International Conference on Learning Analytics & Knowledge,Caleb,1,23
818492192,understanding student learning trajectories using multimodal learning analytics within an embodied-interaction learning environment,Alejandro Andrade,2017,Learning,"VIDEO,LOGS,INTER,PPA","GAZE,LOGS,INTER,PPA,GEST","CLUST,PATT,QUAL",HYBRID,LAK,International Conference on Learning Analytics & Knowledge,Clayton,2,23
818492192,understanding student learning trajectories using multimodal learning analytics within an embodied-interaction learning environment,Alejandro Andrade,2017,Learning,"VIDEO,LOGS,INTER,PPA","GAZE,LOGS,INTER,PPA,GEST","CLUST,QUAL",HYBRID,LAK,International Conference on Learning Analytics & Knowledge,Caleb/Clayton,3,23
147203129,multimodal learning analytics to inform learning design: lessons learned from computing education,Katerina Mangaroska,2020,Learning,"VIDEO,EYE,SENSOR,LOGS","GAZE,PULSE,EDA,AFFECT",CLS,HYBRID,JLA,Journal of Learning Analytics,Caleb,1,24
147203129,multimodal learning analytics to inform learning design: lessons learned from computing education,Katerina Mangaroska,2020,Learning,"VIDEO,EYE,SENSOR,LOGS","LOGS,GAZE,EDA,PULSE,AFFECT,TEMP",CLS,HYBRID,JLA,Journal of Learning Analytics,Clayton,2,24
147203129,multimodal learning analytics to inform learning design: lessons learned from computing education,Katerina Mangaroska,2020,Learning,"VIDEO,EYE,SENSOR,LOGS","LOGS,GAZE,EDA,PULSE,AFFECT,TEMP",CLS,HYBRID,JLA,Journal of Learning Analytics,Caleb/Clayton,3,24
123412197,utilizing multimodal data through fsqca to explain engagement in adaptive learning,Zacharoula Papamitsiou,2020,Learning,"VIDEO,EYE,SENSOR,SURVEY","PULSE,BP,TEMP,EDA,EEG,AFFECT,GAZE,SURVEY",CLUST,EARLY,TLT,Transactions on Learning Technologies,Caleb,1,25
123412197,utilizing multimodal data through fsqca to explain engagement in adaptive learning,Zacharoula Papamitsiou,2020,Learning,"SURVEY,LOGS,EYE,SENSOR,VIDEO","PULSE,AFFECT,EEG,GAZE,LOGS,BP,TEMP,EDA,SURVEY",STATS,HYBRID,TLT,Transactions on Learning Technologies,Clayton,2,25
123412197,utilizing multimodal data through fsqca to explain engagement in adaptive learning,Zacharoula Papamitsiou,2020,Learning,"SURVEY,LOGS,EYE,SENSOR,VIDEO","PULSE,AFFECT,EEG,GAZE,LOGS,BP,TEMP,EDA,SURVEY",PATT,HYBRID,TLT,Transactions on Learning Technologies,Caleb/Clayton,3,25
1118315889,using multimodal learning analytics to identify aspects of collaboration in project-based learning,Daniel Spikol,2017,Learning,"VIDEO,AUDIO,LOGS","POSE,PROS",REG,MID,CSCL,Conference on Computer Supported Collaborative Learning,Caleb,1,26
1118315889,using multimodal learning analytics to identify aspects of collaboration in project-based learning,Daniel Spikol,2017,Learning,"VIDEO,AUDIO,LOGS","POSE,PROS",REG,MID,CSCL,Conference on Computer Supported Collaborative Learning,Clayton,2,26
1118315889,using multimodal learning analytics to identify aspects of collaboration in project-based learning,Daniel Spikol,2017,Learning,"VIDEO,AUDIO,LOGS","POSE,PROS",REG,MID,CSCL,Conference on Computer Supported Collaborative Learning,Caleb/Clayton,3,26
1315379489,multimodal engagement analysis from facial videos in the classroom,Ömer Sümer,2021,Learning,VIDEO,"AFFECT,GAZE",CLS,EARLY,TAC,Transactions on Affective Computing,Caleb,1,27
1315379489,multimodal engagement analysis from facial videos in the classroom,Ömer Sümer,2021,Learning,VIDEO,"POSE,AFFECT",CLS,"EARLY,LATE",TAC,Transactions on Affective Computing,Clayton,2,27
1315379489,multimodal engagement analysis from facial videos in the classroom,Ömer Sümer,2021,Learning,VIDEO,"POSE,AFFECT",CLS,"EARLY,LATE",TAC,Transactions on Affective Computing,Caleb/Clayton,3,27
1374035721,attentivelearner2: a multimodal approach for improving mooc learning on mobile devices,Phuong Pham,2017,Learning,"VIDEO,SURVEY","PULSE,AFFECT,SURVEY",CLS,MID,AIED,International Conference on Artificial Intelligence in Education,Caleb,1,28
1374035721,attentivelearner2: a multimodal approach for improving mooc learning on mobile devices,Phuong Pham,2017,Learning,"VIDEO,SURVEY","PULSE,AFFECT,SURVEY",CLS,EARLY,AIED,International Conference on Artificial Intelligence in Education,Clayton,2,28
1374035721,attentivelearner2: a multimodal approach for improving mooc learning on mobile devices,Phuong Pham,2017,Learning,"VIDEO,SURVEY","PULSE,AFFECT,SURVEY",CLS,MID,AIED,International Conference on Artificial Intelligence in Education,Caleb/Clayton,3,28
1426267857,"affect, support, and personal factors: multimodal causal models of one-on-one coaching",Lujie Karen Chen,2021,Learning,"VIDEO,AUDIO,SURVEY","TRANS,AFFECT,SURVEY",STATS,HYBRID,JEDM,Journal of Educational Data Mining,Caleb,1,29
1426267857,"affect, support, and personal factors: multimodal causal models of one-on-one coaching",Lujie Karen Chen,2021,Learning,"AUDIO,VIDEO,SURVEY","PROS,GAZE,TRANS,AFFECT,GEST,SURVEY","STATS,NET",HYBRID,JEDM,Journal of Educational Data Mining,Clayton,2,29
1426267857,"affect, support, and personal factors: multimodal causal models of one-on-one coaching",Lujie Karen Chen,2021,Learning,"AUDIO,VIDEO,SURVEY","PROS,GAZE,TRANS,AFFECT,SURVEY","STATS,NET",HYBRID,JEDM,Journal of Educational Data Mining,Caleb/Clayton,3,29
2055153191,round or rectangular tables for collaborative problem solving? a multimodal learning analytics study,Milica Vujovic,2020,Learning,"VIDEO,MOTION","POSE,GEST,ACT","STATS,QUAL",MID,BJET,British Journal of Educational Technology,Caleb,1,30
2055153191,round or rectangular tables for collaborative problem solving? a multimodal learning analytics study,Milica Vujovic,2020,Learning,"VIDEO,MOTION","POSE,GEST,ACT","STATS,QUAL",QUAL,BJET,British Journal of Educational Technology,Clayton,2,30
2055153191,round or rectangular tables for collaborative problem solving? a multimodal learning analytics study,Milica Vujovic,2020,Learning,"VIDEO,MOTION","POSE,GEST,ACT","STATS,QUAL",QUAL,BJET,British Journal of Educational Technology,Caleb/Clayton,3,30
2273914836,many are the ways to learn identifying multi-modal behavioral profiles of collaborative learning in constructivist activities,Jauwairia Nasir,2022,Learning,"VIDEO,AUDIO,LOGS,PPA,SURVEY","PROS,AFFECT,GAZE,TRANS","STATS,QUAL,CLUST,CLS",HYBRID,IJCSCL,International Journal of Computer-Supported Collaborative Learning,Clayton,1,31
2273914836,many are the ways to learn identifying multi-modal behavioral profiles of collaborative learning in constructivist activities,Jauwairia Nasir,2022,Learning,"VIDEO,AUDIO,LOGS,PPA,SURVEY","PROS,AFFECT,GAZE,TRANS,LOGS","STATS,QUAL,CLUST,CLS",HYBRID,IJCSCL,International Journal of Computer-Supported Collaborative Learning,Caleb,2,31
2273914836,many are the ways to learn identifying multi-modal behavioral profiles of collaborative learning in constructivist activities,Jauwairia Nasir,2022,Learning,"VIDEO,AUDIO,LOGS,PPA,SURVEY","PROS,AFFECT,GAZE,TRANS,LOGS","STATS,QUAL,CLUST,CLS",HYBRID,IJCSCL,International Journal of Computer-Supported Collaborative Learning,Caleb/Clayton,3,31
1763513559,keep me in the loop: real-time feedback with multimodal data,Daniele Di Mitri,2021,Training,"SURVEY,LOGS,VIDEO,SENSOR,SCREEN","POSE,EMG,GEST,SURVEY","CLS,QUAL,STATS",EARLY,IJAIED,International Journal of Artificial Intelligence in Education,Clayton,1,32
1763513559,keep me in the loop: real-time feedback with multimodal data,Daniele Di Mitri,2021,Training,"SURVEY,LOGS,VIDEO,SENSOR,MOTION","POSE,EMG,GEST,SURVEY","CLS,QUAL,STATS",HYBRID,IJAIED,International Journal of Artificial Intelligence in Education,Caleb,2,32
1763513559,keep me in the loop: real-time feedback with multimodal data,Daniele Di Mitri,2021,Training,"SURVEY,LOGS,VIDEO,SENSOR,MOTION","POSE,EMG,GEST,SURVEY","CLS,QUAL,STATS",HYBRID,IJAIED,International Journal of Artificial Intelligence in Education,Caleb/Clayton,3,32
1345598079,intermodality in multimodal learning analytics for cognitive theory development: a case from embodied design for mathematics learning,Sofia Tancredi,2022,Learning,"EYE,LOGS,VIDEO,AUDIO","GAZE,TRANS,GEST","PATT,QUAL,STATS",NONE,MMLA Handbook,The Multimodal Learning Analytics Handbook,Clayton,1,33
1345598079,intermodality in multimodal learning analytics for cognitive theory development: a case from embodied design for mathematics learning,Sofia Tancredi,2022,Learning,"EYE,VIDEO,AUDIO,INTER","GAZE,GEST,TRANS,POSE,INTER","PATT,QUAL,STATS",QUAL,MMLA Handbook,The Multimodal Learning Analytics Handbook,Caleb,2,33
1345598079,intermodality in multimodal learning analytics for cognitive theory development: a case from embodied design for mathematics learning,Sofia Tancredi,2022,Learning,"EYE,VIDEO,AUDIO,INTER","GAZE,GEST,TRANS,POSE,INTER","PATT,QUAL,STATS",QUAL,MMLA Handbook,The Multimodal Learning Analytics Handbook,Caleb/Clayton,3,33
3135645357,multimodal teaching analytics: automated extraction of orchestration graphs from wearable sensor data,Luis P. Prieto,2017,Learning,"EYE,VIDEO,AUDIO,MOTION","GAZE,PROS,ACT,PIXEL","NET,CLS,STATS,PATT,QUAL",HYBRID,JCAL,Journal of Computer Assisted Learning,Clayton,1,34
3135645357,multimodal teaching analytics: automated extraction of orchestration graphs from wearable sensor data,Luis P. Prieto,2018,Learning,"EYE,VIDEO,AUDIO,MOTION","GAZE,PROS,ACT,PIXEL","NET,CLS,STATS,PATT,QUAL",HYBRID,JCAL,Journal of Computer Assisted Learning,Caleb,2,34
3135645357,multimodal teaching analytics: automated extraction of orchestration graphs from wearable sensor data,Luis P. Prieto,2018,Learning,"EYE,VIDEO,AUDIO,MOTION","GAZE,PROS,ACT,PIXEL","NET,CLS,STATS,PATT,QUAL",HYBRID,JCAL,Journal of Computer Assisted Learning,Caleb/Clayton,3,34
3856280479,children's play and problem-solving in motion-based learning technologies using a multi-modal mixed methods approach,Serena Lee-Cultura,2021,Learning,"VIDEO,SENSOR,EYE,LOGS","ACT,GAZE,EDA,PULSE,AFFECT,FATIG,LOGS,QUAL,TEMP","STATS,QUAL,CLS",HYBRID,IJCCI,International Journal of Child-Computer Interaction,Clayton,1,35
